GameID,Date,Home,WINorLOSS,FieldGoals,FieldGoals.,X3PointShots,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls
54,2/11/2015,Away,L,33,0.423,7,0.241,15,23,0.652,5,44,23,6,5,12,17
55,2/20/2015,Home,L,29,0.33,8,0.211,14,21,0.667,17,52,19,6,8,22,10
56,2/22/2015,Away,W,35,0.402,9,0.3,18,21,0.857,16,43,23,10,7,20,17
57,2/25/2015,Home,W,39,0.459,13,0.371,13,16,0.813,10,41,28,7,2,11,18
58,2/27/2015,Home,W,36,0.444,14,0.452,9,12,0.75,11,42,27,11,5,18,12
59,2/28/2015,Away,W,34,0.43,10,0.4,15,20,0.75,8,37,23,12,5,18,19
60,3/3/2015,Home,W,39,0.453,8,0.276,18,21,0.857,9,49,23,3,6,15,13
61,3/6/2015,Home,W,43,0.512,6,0.286,14,17,0.824,11,38,27,10,4,12,22
62,3/7/2015,Away,L,30,0.39,11,0.44,13,16,0.813,5,42,20,8,9,19,14
63,3/9/2015,Home,W,53,0.602,20,0.556,4,7,0.571,10,33,42,8,6,13,18
64,3/11/2015,Away,L,34,0.42,9,0.333,25,27,0.926,8,32,18,11,3,17,18
65,3/13/2015,Away,W,39,0.47,8,0.444,10,12,0.833,7,38,22,11,6,11,20
66,3/15/2015,Away,W,34,0.447,5,0.217,18,27,0.667,7,34,25,9,6,10,14
67,3/16/2015,Away,W,38,0.452,12,0.387,22,30,0.733,9,39,25,11,5,12,24
68,3/18/2015,Away,L,31,0.356,8,0.364,25,30,0.833,15,44,24,14,4,15,20
69,3/20/2015,Away,L,41,0.5,13,0.448,20,25,0.8,7,34,20,9,4,11,16
70,3/22/2015,Home,L,38,0.475,12,0.5,7,7,1,6,29,25,13,2,18,15
71,3/25/2015,Away,W,39,0.433,10,0.323,7,10,0.7,12,45,21,9,8,13,17
72,3/27/2015,Home,W,37,0.514,6,0.333,19,24,0.792,5,38,31,12,4,16,13
73,3/28/2015,Away,L,37,0.43,15,0.5,11,14,0.786,7,36,32,6,4,10,17
74,3/30/2015,Home,W,36,0.456,9,0.31,20,24,0.833,12,42,29,5,4,11,20
75,3/31/2015,Away,L,40,0.476,8,0.32,7,10,0.7,12,43,25,8,0,17,14
76,4/4/2015,Home,W,49,0.598,17,0.515,16,19,0.842,7,34,40,15,4,12,16
77,4/7/2015,Home,W,41,0.494,4,0.16,10,14,0.714,8,54,21,9,4,15,17
78,4/8/2015,Away,W,43,0.5,11,0.393,17,25,0.68,10,40,35,11,4,11,18
79,4/10/2015,Home,W,41,0.5,10,0.357,12,16,0.75,9,44,31,10,4,13,18
80,4/12/2015,Away,L,36,0.414,9,0.31,18,24,0.75,7,38,24,10,2,11,22
81,4/13/2015,Home,L,39,0.443,11,0.344,19,23,0.826,12,37,27,10,3,8,17
82,4/15/2015,Away,L,36,0.391,8,0.276,5,7,0.714,10,42,15,10,10,15,19
110,10/29/2014,Home,W,49,0.557,8,0.364,15,23,0.652,9,35,28,11,5,12,25
210,11/1/2014,Away,L,37,0.378,1,0.04,15,18,0.833,14,44,20,10,8,10,26
310,11/3/2014,Away,L,45,0.441,11,0.355,12,16,0.75,22,49,29,9,6,17,21
410,11/5/2014,Home,L,40,0.513,10,0.385,17,18,0.944,17,55,22,5,3,27,25
510,11/7/2014,Home,W,39,0.459,9,0.333,14,16,0.875,9,38,26,6,3,12,19
